"UNIQUE_REFERENCE_NUMBER"|"NAME"|"POINTX_CLASSIFICATION_CODE"|"FEATURE_EASTING"|"FEATURE_NORTHING"|"POSITIONAL_ACCURACY_CODE"|"UPRN"|"TOPOGRAPHIC_TOID"|"TOPOGRAPHIC_TOID_VERSION"|"USRN"|"USRN_MATCH_INDICATOR"|"DISTANCE"|"ADDRESS_DETAIL"|"STREET_NAME"|"LOCALITY"|"GEOGRAPHIC_COUNTY"|"POSTCODE"|"ADMINISTRATIVE_BOUNDARY"|"TELEPHONE_NUMBER"|"URL"|"BRAND"|"QUALIFIER_TYPE"|"QUALIFIER_DATA"|"PROVENANCE"|"DATE_OF_SUPPLY"
32999972|"Bus Stop (Civic Centre Btm Car Park)"|"10590732"|330564.0|188175.0|1||"Not Assigned"|0|27100544|3|6.7|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|"SMS Number"|"nwpgdjt"|"Department for Transport"|"01-SEP-2021"
103917834|"Bethany Care Home"|"05280373"|330311.0|187860.0|1|100100973590|"osgb1000027520138"|3|27100889|1|19.7|"32"|"Llanthewy Road"|"Newport"|"Gwent"|"NP20 4LD"|"Casnewydd - Newport"|"01633266619"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
103924632|"Newport Orthodontic Centre"|"05280368"|330560.0|188083.0|1|100100973946|"osgb1000027523182"|4|27100354|1|17.0|"28"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4PA"|"Casnewydd - Newport"|"01633264545"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
107701474|"Learning Disability Office"|"05280365"|330405.0|188247.0|1|100101047071|"osgb1000027523456"|6|27100622|1|70.4|"Civic Centre"|"Godfrey Road"|"Newport"|"Gwent"|"NP20 4UR"|"Casnewydd - Newport"|"01633656656"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
161673527|"B Braun Avitum - Newport Dialysis Unit"|"05280365"|330613.0|187520.0|1|10002148131|"osgb1000027519538"|17|27101378|1|40.6|"St. Woolos Hospital 131"|"Stow Hill"|"Newport"|"Gwent"|"NP20 4SZ"|"Casnewydd - Newport"|"01633656070"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
107701619|"Fields Nursing Homes Ltd"|"02100167"|330306.0|187787.0|1|100100973582|"osgb1000027519932"|3|27101325|3|15.4|"41"|"Llanthewy Road"|"Newport"|"Gwent"|"NP20 4JZ"|"Casnewydd - Newport"|"01633215050"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
18857462|"Newport (South Wales) Crown Court"|"06330409"|330475.0|188204.0|1|100101047046|"osgb1000027523814"|9|27100544|1|76.4|""|"Faulkner Road"|"Newport"|"Gwent"|"NP20 4PR"|"Casnewydd - Newport"|"02920678730"|"www.gov.uk/find-court-tribunal"|""|""|""|"The Court Service"|"01-SEP-2021"
47946662|"Crescent Guest House"|"01010003"|330315.0|187670.0|1|100100653471|"osgb1000027520394"|2|27100236|1|17.2|"11"|"Caerau Crescent"|"Newport"|"Gwent"|"NP20 4HG"|"Casnewydd - Newport"|"01633776677"|"www.crescentguesthouse.com"|""|""|""|"118 Information"|"01-SEP-2021"
41269790|"Faulkner Road"|"10540736"|330538.0|188198.0|1|100101047045|"osgb1000002040991397"|12|27100544|2|34.8|"Faulkner Road"|""|"Newport"|"Gwent"|"NP20 4PD"|"Casnewydd - Newport"|""|""|""|""|""|"Department for Transport (Parking)"|"01-SEP-2021"
54248809|"Civic Centre"|"10540736"|330366.0|188295.0|1||"osgb1000002067829990"|8|27100555|2|14.4|"Fields Road"|""|"Newport"|"Gwent"|"NP20 4UR"|"Casnewydd - Newport"|""|""|""|""|""|"Department for Transport (Parking)"|"01-SEP-2021"
54378216|"Cintec International Ltd"|"02100167"|330438.0|188348.0|1|100100973356|"osgb1000027523771"|5|27100623|1|29.9|"Cintec House 11"|"Gold Tops"|"Newport"|"Gwent"|"NP20 4PH"|"Casnewydd - Newport"|"01633246614"|""|""|""|""|"118 Information"|"01-SEP-2021"
54713516|"Moore Nagle"|"02090135"|330540.0|188042.0|1|10090273438|"osgb1000027523200"|5|27100237|1|18.9|"78"|"Caerau Road"|"Newport"|"Gwent"|"NP20 4HJ"|"Casnewydd - Newport"|"01633243931"|""|""|""|""|"118 Information"|"01-SEP-2021"
54752290|"Heron House Financial Management Ltd"|"02090147"|330422.0|188017.0|1|10002148433|"osgb1000027523389"|5|27100218|1|11.0|"1"|"Bryngwyn Road"|"Newport"|"Gwent"|"NP20 4JS"|"Casnewydd - Newport"|"01633258200"|"www.hhfm.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
54779028|"Watkins & Gunn Solicitors"|"02090154"|330563.4|188369.0|1|100101047084|"osgb1000027522814"|7|27100623|1|21.1|"17"|"Gold Tops"|"Newport"|"Gwent"|"NP20 4PH"|"Casnewydd - Newport"|"01633262122"|""|""|""|""|"118 Information"|"01-SEP-2021"
54822200|"Elixir"|"02100156"|330506.0|187567.0|1|100100973310|"osgb1000002487440930"|3|27101378|1|9.3|"133a"|"Stow Hill"|"Newport"|"Gwent"|"NP20 4FZ"|"Casnewydd - Newport"|"01633254777"|""|""|""|""|"118 Information"|"01-SEP-2021"
114031873|"Greenfields School"|"05310377"|330464.8|187405.0|1|100100973637|"osgb1000027521201"|3|27101379|1|35.0|"30"|"Stow Park Avenue"|"Newport"|"Gwent"|"NP20 4FN"|"Casnewydd - Newport"|"01633259019"|""|""|""|""|"Welsh Assembly Government"|"01-SEP-2021"
55086802|"Purnells"|"02090147"|330578.4|188377.0|1|10090277324|"osgb1000027523362"|5|27100623|1|26.3|"18a"|"Gold Tops"|"Newport"|"Gwent"|"NP20 4PH"|"Casnewydd - Newport"|"01633214712"|"www.purnells-insolvency.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
80816890|"Longfield Consulting Rooms"|"05280365"|330394.0|187605.0|1|100100688720|"osgb1000027520246"|3|27101378|1|27.4|"196"|"Stow Hill"|"Newport"|"Gwent"|"NP20 4HB"|"Casnewydd - Newport"|"01633762020"|"www.longfieldconsultingrooms.com"|""|""|""|"118 Information"|"01-SEP-2021"
64397599|"Steve Morgan Associates Consulting Engineers"|"02060085"|330526.0|188066.0|1|100100973306|"osgb1000027523197"|5|27100354|1|17.1|"9"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4PB"|"Casnewydd - Newport"|"01633266244"|"www.smalimited.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
75490856|"Glenmore Residential Home"|"05280373"|330439.0|187603.0|1|100100973537|"osgb1000027520252"|3|27101378|1|23.7|"188-190"|"Stow Hill"|"Newport"|"Gwent"|"NP20 4HB"|"Casnewydd - Newport"|"01633258601"|""|""|""|""|"118 Information"|"01-SEP-2021"
75372831|"Lynne Bowkett"|"05280330"|330453.0|187468.0|1|100100688785|"osgb1000027521209"|3|27101379|1|21.7|"24"|"Stow Park Avenue"|"Newport"|"Gwent"|"NP20 4FL"|"Casnewydd - Newport"|"01633661088"|"www.lynnebowkett.com"|""|""|""|"118 Information"|"01-SEP-2021"
75499096|"Stow Park Nursing Home"|"05280373"|330472.0|187359.0|1|100100973638|"osgb1000027521222"|7|27101379|1|23.6|"31"|"Stow Park Avenue"|"Newport"|"Gwent"|"NP20 4FN"|"Casnewydd - Newport"|"01633212262"|""|""|""|""|"118 Information"|"01-SEP-2021"
75442849|"Gwent Drug & Alcohol Service"|"05290358"|330569.3|188163.6|1|100100973600|"osgb1000027523155"|5|27100622|1|26.8|"11"|"Godfrey Road"|"Newport"|"Gwent"|"NP20 4NX"|"Casnewydd - Newport"|"01633252045"|"www.gdas.wales"|""|""|""|"118 Information"|"01-SEP-2021"
75454333|"Burleigh House Day Nursery"|"05320397"|330280.0|187882.0|1|100100973572|"osgb1000027520133"|3|27100218|1|14.4|"25"|"Bryngwyn Road"|"Newport"|"Gwent"|"NP20 4JS"|"Casnewydd - Newport"|"01633223458"|""|""|""|""|"118 Information"|"01-SEP-2021"
75468006|"Norfolk House Nursery"|"05320397"|330347.5|187686.2|1|100100973548|"osgb1000027520391"|3|27100236|1|19.3|"9"|"Caerau Crescent"|"Newport"|"Gwent"|"NP20 4HG"|"Casnewydd - Newport"|"01633840243"|"www.norfolkhousenursery.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
85560000|"Health Help International"|"06350816"|330485.0|187620.0|1|10014124526|"osgb1000027520282"|3|27100220|1|21.1|""|"Brynhyfryd Road"|"Newport"|"Gwent"|"NP20 4FX"|"Casnewydd - Newport"|"01633671055"|"www.hhi.org.uk"|""|""|""|"118 Information"|"01-SEP-2021"
91427950|"Fields Nursing Home"|"05280373"|330386.0|188372.0|1|100100664201|"osgb1000027523743"|6|27100555|1|28.6|"29"|"Fields Road"|"Newport"|"Gwent"|"NP20 4PJ"|"Casnewydd - Newport"|"01633265523"|"www.fieldscarehome.com"|""|""|""|"118 Information"|"01-SEP-2021"
85586116|"The Health & Serenity Spa"|"02100821"|330550.2|188051.6|1|100100973924|"osgb1000027523199"|5|27100354|1|14.6|"8"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4PB"|"Casnewydd - Newport"|"01633264430"|"www.thehealthandserenityspa.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
91431461|"Energy Consultancy Services Ltd"|"06340444"|330491.0|188086.0|1|100100973881|"osgb1000027523371"|5|27100354|1|23.5|"12"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4PB"|"Casnewydd - Newport"|"08450556316"|""|""|""|""|"118 Information"|"01-SEP-2021"
95770161|"Andrew Turford & Co"|"02090135"|330484.0|187330.0|1|100100688792|"osgb1000027521224"|3|27101379|1|19.5|"33"|"Stow Park Avenue"|"Newport"|"Gwent"|"NP20 4FN"|"Casnewydd - Newport"|"01633214658"|""|""|""|""|"118 Information"|"01-SEP-2021"
105211722|"Phil Bessant Ltd"|"02090135"|330501.2|187975.1|1|100100973903|"osgb1000027520457"|6|27100237|1|17.2|"72"|"Caerau Road"|"Newport"|"Gwent"|"NP20 4HJ"|"Casnewydd - Newport"|"01633253377"|"www.philbessantltd.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
105211332|"Cathedral Chambers"|"02090154"|330513.8|188070.2|1|100100973880|"osgb1000027523195"|7|27100354|2|21.2|"Clytha House 10"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4PB"|"Casnewydd - Newport"|"01633215112"|"www.cathedralchambers.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
109098214|"Coley Consulting Ltd"|"02080124"|330464.0|187917.0|1|100100653535|"osgb1000027520195"|2|27100237|1|18.0|"67"|"Caerau Road"|"Newport"|"Gwent"|"NP20 4HJ"|"Casnewydd - Newport"|"01633660680"|""|""|""|""|"118 Information"|"01-SEP-2021"
123135505|"Stockcheck Ltd"|"02040064"|330227.0|188289.0|1|100100664077|"osgb1000027523676"|6|27100554|1|14.5|"11"|"Fields Park Road"|"Newport"|"Gwent"|"NP20 5BA"|"Casnewydd - Newport"|"08000281875"|""|"Stock Check"|""|""|"118 Information"|"01-SEP-2021"
123134418|"Christians Against Poverty"|"02090147"|330485.0|187620.0|1|10014124526|"osgb1000027520282"|3|27100220|1|21.1|""|"Brynhyfryd Road"|"Newport"|"Gwent"|"NP20 4FX"|"Casnewydd - Newport"|"08003280006"|""|"Christians Against Poverty"|""|""|"118 Information"|"01-SEP-2021"
125734273|"Clytha Clinic"|"05280365"|330539.6|188098.7|1|100100973703|"osgb1000027523181"|4|27100354|1|17.1|"27"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4PA"|"Casnewydd - Newport"|"01633435900"|""|""|""|""|"118 Information"|"01-SEP-2021"
125797869|"Rage Hair & Beauty"|"02100156"|330567.0|188032.0|1|10002148395|"osgb1000027523215"|6|27100237|1|9.3|"1"|"Caerau Road"|"Newport"|"Gwent"|"NP20 4HL"|"Casnewydd - Newport"|"01633262455"|""|""|""|""|"118 Information"|"01-SEP-2021"
125909143|"G A P Personnel Newport"|"02050078"|330578.0|188378.7|1|10090276664|"osgb1000027523362"|5|27100623|1|28.1|"Suite 1 Goldfields House 18a"|"Gold Tops"|"Newport"|"Gwent"|"NP20 4PH"|"Casnewydd - Newport"|"01633214517"|"www.gap-personnel.com"|"Gap Personnel"|""|""|"118 Information"|"01-SEP-2021"
141912092|"Mouse Tech"|"02130205"|330187.0|188628.0|1|100100647356|"osgb1000027522415"|3|27100050|1|20.1|"26"|"Allt-yr-Yn Close"|"Newport"|"Gwent"|"NP20 5ED"|"Casnewydd - Newport"|"07577412045"|""|""|""|""|"118 Information"|"01-SEP-2021"
141907170|"Axis Chiropractic Clinic"|"05280345"|330533.4|188029.1|1|10090273437|"osgb1000027523202"|5|27100237|1|17.6|"77"|"Caerau Road"|"Newport"|"Gwent"|"NP20 4HJ"|"Casnewydd - Newport"|"01633662022"|"www.axischiropractic.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
151365846|"Everett Tomlin & Lloyd & Pratt Practice"|"02090154"|330621.0|188382.0|1|100101047087|"osgb1000027522818"|6|27100623|1|25.8|"19-20"|"Gold Tops"|"Newport"|"Gwent"|"NP20 4PH"|"Casnewydd - Newport"|"01633251801"|"www.etlp.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
156933438|"Cara Caring Services Ltd"|"02050076"|330543.0|188281.0|1|100100973803|"osgb1000027523056"|5|27100622|1|17.1|"Primrose House"|"34 Godfrey Road"|"Newport"|"Gwent"|"NP20 4PE"|"Casnewydd - Newport"|"01633244007"|"www.cara.wales"|""|""|""|"118 Information"|"01-SEP-2021"
63879755|"Allotment Gardens"|"06340453"|330258.0|187287.0|1||"osgb5000005152717494"|2|27101382|3|116.1|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
156921380|"Platform Resourcing"|"02050078"|330621.0|188382.0|1|100101047087|"osgb1000027522818"|6|27100623|1|25.8|"19-20"|"Gold Tops"|"Newport"|"Gwent"|"NP20 4PH"|"Casnewydd - Newport"|"01633546320"|""|""|""|""|"118 Information"|"01-SEP-2021"
157763615|"Dandan Films"|"02080122"|330638.0|188024.0|1|100100691866|"osgb1000027523231"|4|27101473|1|11.4|"6"|"Tunnel Terrace"|"Newport"|"Gwent"|"NP20 4BT"|"Casnewydd - Newport"|"07912878523"|"www.dandanfilms.com"|""|""|""|"118 Information"|"01-SEP-2021"
159602786|"Lyndhurst Services UK Ltd"|"02090135"|330514.0|188070.0|1|100100973880|"osgb1000027523195"|7|27100354|1|21.3|"Clytha House"|"10 Clytha Park Road"|"Newport"|"Gwent"|"NP20 4PB"|"Casnewydd - Newport"|"01633250530"|""|""|""|""|"118 Information"|"01-SEP-2021"
161929878|"Fizz Cleaning Services Ltd"|"02100158"|330535.0|188410.0|1|100100664189|"osgb1000027522804"|4|27100555|1|20.6|"17"|"Fields Road"|"Newport"|"Gwent"|"NP20 4PJ"|"Casnewydd - Newport"|"07947297850"|""|""|""|""|"118 Information"|"01-SEP-2021"
162695857|"J F N 1 Property Management Services"|"02110191"|330602.0|188077.0|1|100100657666|"osgb1000027523188"|5|27100354|1|12.8|"33"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4NZ"|"Casnewydd - Newport"|"07811402555"|""|""|""|""|"118 Information"|"01-SEP-2021"
162680804|"Zest Accountants & Business Advisors"|"02090135"|330491.0|188086.0|1|100100973881|"osgb1000027523371"|5|27100354|1|23.5|"12"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4PB"|"Casnewydd - Newport"|"01633546268"|""|""|""|""|"118 Information"|"01-SEP-2021"
165518668|"Kingsley Wealth Management Ltd"|"02090147"|330552.8|188369.8|1|100101047084|"osgb1000027522814"|7|27100623|1|24.0|"Lansdowne House"|"17 Gold Tops"|"Newport"|"Gwent"|"NP20 4PH"|"Casnewydd - Newport"|"01633633703"|""|""|""|""|"118 Information"|"01-SEP-2021"
165165558|"Foot Pulse Podiatry"|"05280333"|330543.0|188281.0|1|100100973803|"osgb1000027523056"|5|27100622|1|17.1|"Primrose House 34"|"Godfrey Road"|"Newport"|"Gwent"|"NP20 4PE"|"Casnewydd - Newport"|"07723141360"|""|""|""|""|"118 Information"|"01-SEP-2021"
68592749|"Letter Box"|"06340457"|330466.0|188316.0|1||"osgb1000002040991681"|10|27100623|3|7.3|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
68668827|"Tennis Courts"|"04240305"|330348.0|188615.0|1||"osgb1000002040986422"|4|27100393|3|50.9|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
68663357|"Tennis Courts"|"04240305"|330369.0|188620.0|1||"osgb1000002040986224"|6|27100393|3|55.6|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
127073370|"Electricity Sub Station"|"06340433"|330508.0|188252.0|1||"osgb5000005142058525"|2|27100622|3|23.8|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
133921663|"Car Park"|"10540736"|330375.0|188262.0|2||"Not Assigned"|0|27100555|3|42.2|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
159882251|"Letter Box"|"06340457"|330622.3|187569.1|2||"Not Assigned"|0|27101378|3|9.2|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
161901041|"Mast (Telecommunication)"|"06340443"|330628.8|187560.5|2||"Not Assigned"|0|27101378|3|1.2|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
161905212|"Tennis Court"|"04240305"|330399.3|188635.2|2||"Not Assigned"|0|27100253|3|38.1|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
110643692|"All About Eve"|"02100186"|330576.6|188050.1|1|100100973297|"osgb1000027523216"|4|27100354|1|10.6|"3-7a"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4NZ"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
124753096|"La Pizzeria"|"01020018"|330595.0|188073.0|1|100100973939|"osgb1000027523187"|6|27100354|1|10.0|"32"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4NZ"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
126938231|"Meat Bar and Grill"|"01020034"|330602.0|188049.0|1|100100973329|"osgb1000027523221"|4|27100354|1|14.8|"3-7a"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4NZ"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
131487600|"Wellfield Clinic"|"05280330"|330552.8|188369.8|1|100101047084|"osgb1000027522814"|7|27100623|1|24.0|"17, Gold Tops"|"Town Centre"|"Newport"|"Gwent"|"NP20 4PH"|"Casnewydd - Newport"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
105172866|"Stow Hill Filling Station"|"09470699"|330641.0|187590.3|1|100101047728|"osgb5000005138327142"|2|27101378|1|32.0|"Stow Hill"|""|"Newport"|"Gwent"|"NP20 4GA"|"Casnewydd - Newport"|"01633256705"|"www.esso.co.uk"|"Esso"|""|""|"Experian"|"01-SEP-2021"
124104980|"Mai Jones Blue Plaque"|"03200269"|330530.0|188454.0|1|100100687887|"osgb1000027522780"|5|27101353|2|12.2|"19"|"St Mark's Crescent"|"Newport"|"Gwent"|"NP20"|"Casnewydd - Newport"|""|"openplaques.org/plaques/30535"|""|"Plaque Type"|"Blue"|"Open Plaques"|"01-SEP-2021"
163782974|"NoteMachine Ltd"|"02090141"|330596.0|188049.0|1|100100973799|"osgb1000027523220"|4|27100354|1|13.8|"4"|"Clytha Park Road"|"Newport"|"Gwent"|"NP20 4NZ"|"Casnewydd - Newport"|""|""|""|""|""|"VocaLink"|"01-SEP-2021"
47980239|"New World Chinese Restaurant"|"01020043"|331291.0|187491.0|1|100100972600|"osgb5000005138327178"|3|27100264|1|14.0|"14"|"Cardiff Road"|"Newport"|"Gwent"|"NP20 2ED"|"Casnewydd - Newport"|"01633252666"|""|""|"Restaurant Type"|"Chinese Restaurant"|"118 Information"|"01-SEP-2021"
47998745|"Red Hot Goodies"|"01020018"|331278.0|187478.0|1|100100972603|"osgb1000027569806"|7|27100264|1|18.7|"30"|"Cardiff Road"|"Newport"|"Gwent"|"NP20 2ED"|"Casnewydd - Newport"|"01633843688"|""|""|""|""|"118 Information"|"01-SEP-2021"
48003942|"Indian Ocean"|"01020018"|331264.0|187441.0|1|10014126636|"osgb1000027569770"|5|27100264|1|10.3|"34"|"Cardiff Road"|"Newport"|"Gwent"|"NP20 2ED"|"Casnewydd - Newport"|"01633243198"|""|""|""|""|"118 Information"|"01-SEP-2021"
48033215|"Vittorio's Restaurant"|"01020043"|330806.0|187567.0|1|100100973449|"osgb1000027519507"|5|27101378|1|6.7|"113-115"|"Stow Hill"|"Newport"|"Gwent"|"NP20 4ED"|"Casnewydd - Newport"|"01633840261"|"www.vittoriosrestaurant.co.uk"|""|"Restaurant Type"|"Italian Restaurant"|"118 Information"|"01-SEP-2021"
48940908|"Premier Stores"|"09470699"|331242.0|187414.0|1|100100654725|"osgb1000027569764"|6|27100264|1|15.2|"46"|"Cardiff Road"|"Newport"|"Gwent"|"NP20 2ED"|"Casnewydd - Newport"|"01633267477"|"www.premier-stores.co.uk"|"Premier"|""|""|"118 Information"|"01-SEP-2021"
49133965|"Subway"|"01020018"|331261.0|187437.0|1|100100654714|"osgb5000005138327356"|1|27100264|1|10.8|"36"|"Cardiff Road"|"Newport"|"Gwent"|"NP20 2ED"|"Casnewydd - Newport"|"01633252888"|"www.subway.co.uk"|"Subway"|""|""|"118 Information"|"01-SEP-2021"
49737217|"The Royal British Legion"|"04250314"|331211.0|187487.0|1|100100972599|"osgb1000027569739"|5|27101185|1|14.9|"12"|"Queen Street"|"Newport"|"Gwent"|"NP20 2EB"|"Casnewydd - Newport"|"01633265258"|"www.britishlegion.org.uk"|"The Royal British Legion"|""|""|"118 Information"|"01-SEP-2021"
54756131|"B P W Insurance"|"02090149"|330873.0|187569.0|1|200002952364|"osgb1000027519482"|4|27101378|1|10.0|"Cathedral Chambers"|"107 Stow Hill"|"Newport"|"Gwent"|"NP20 4ED"|"Casnewydd - Newport"|"01633213116"|"www.bpw-insurance.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
54954861|"Azimuth Land Surveys"|"02110195"|331271.0|187455.0|1|100100654707|"osgb1000027569773"|5|27100264|1|12.5|"28"|"Cardiff Road"|"Newport"|"Gwent"|"NP20 2ED"|"Casnewydd - Newport"|"01633263575"|""|""|""|""|"118 Information"|"01-SEP-2021"
54941836|"John Cogdell T V & Computer Repair Services"|"02130205"|330970.0|187495.0|1|100100661242|"osgb1000027520663"|6|27100457|1|13.8|"35"|"Dewsland Park Road"|"Newport"|"Gwent"|"NP20 4EG"|"Casnewydd - Newport"|"01633262709"|""|""|""|""|"118 Information"|"01-SEP-2021"
64319209|"Hale's Television Service Centre"|"09480722"|330815.7|187645.1|1|10014126971|"osgb1000027519314"|3|27101361|1|12.8|""|"St. Woolos Road"|"Newport"|"Gwent"|"NP20 4GN"|"Casnewydd - Newport"|"01633266563"|""|""|""|""|"118 Information"|"01-SEP-2021"
68751157|"Newport Mind"|"06350816"|331309.0|187558.0|1|100101046703|"osgb1000027568500"|6|27104818|1|15.5|"100-101"|"Commercial Street"|"Newport"|"Gwent"|"NP20 1LU"|"Casnewydd - Newport"|"01633258741"|"www.newportmind.org"|"Mind"|""|""|"118 Information"|"01-SEP-2021"
75433711|"St Woolos Chiropractic Clinic"|"05280345"|330793.0|187560.0|1||"osgb1000027519505"|4|27101378|2|11.2|"119"|"Stow Hill"|"Newport"|"Gwent"|"NP20 4ED"|"Casnewydd - Newport"|"01633266669"|""|""|""|""|"118 Information"|"01-SEP-2021"
75465630|"Tiny Tots Premier Childcare Services"|"05320397"|331154.0|187367.0|1|10009646057|"osgb1000027569964"|8|27100355|1|13.3|"1-3 The Avenue"|"Clytha Square"|"Newport"|"Gwent"|"NP20 2FF"|"Casnewydd - Newport"|"01633222832"|"www.tinytots.biz"|""|""|""|"118 Information"|"01-SEP-2021"
85593200|"St Woolos Barbers"|"02100156"|330767.0|187577.0|1|100100688682|"osgb1000027519179"|3|27101378|1|11.2|"116"|"Stow Hill"|"Newport"|"Gwent"|"NP20 4GA"|"Casnewydd - Newport"|"01633252500"|""|""|""|""|"118 Information"|"01-SEP-2021"
91365795|"Georgiou Hair Design"|"02100156"|331307.0|187526.0|1|100100972325|"osgb1000027569145"|7|27104818|1|16.7|"94"|"Commercial Street"|"Newport"|"Gwent"|"NP20 1LU"|"Casnewydd - Newport"|"01633250594"|""|""|""|""|"118 Information"|"01-SEP-2021"
108318687|"John's Meat Market"|"09470662"|331271.0|187658.0|1|100100972342|"osgb1000027568595"|5|27104818|1|13.4|"111-112"|"Commercial Street"|"Newport"|"Gwent"|"NP20 1LW"|"Casnewydd - Newport"|"01633266938"|""|""|""|""|"118 Information"|"01-SEP-2021"
107641738|"Webber Design"|"02080115"|330766.0|187585.0|1|100101046576|"osgb1000027519180"|4|27100349|2|19.2|"13a"|"Clifton Road"|"Newport"|"Gwent"|"NP20 4EW"|"Casnewydd - Newport"|"01633674418"|"www.webber-design.com"|""|""|""|"118 Information"|"01-SEP-2021"
111223897|"Gloden"|"02100156"|331334.0|187579.0|1|100100972254|"osgb1000027568489"|6|27104818|1|16.0|"91"|"Commercial Street"|"Newport"|"Gwent"|"NP20 1LS"|"Casnewydd - Newport"|"08006529280"|"www.gloden.co.uk"|"Gloden"|""|""|"118 Information"|"01-SEP-2021"
124022435|"City Treasures"|"09480712"|331322.0|187604.0|1|10009645507|"osgb1000027568616"|7|27104818|1|12.8|"88-89"|"Commercial Street"|"Newport"|"Gwent"|"NP20 1LS"|"Casnewydd - Newport"|"01633266028"|""|""|""|""|"118 Information"|"01-SEP-2021"
125821849|"Rkade Ltd"|"09480686"|331127.0|187352.0|1|100100972625|"osgb1000027569971"|4|27100355|1|11.0|"4a"|"Clytha Square"|"Newport"|"Gwent"|"NP20 2EF"|"Casnewydd - Newport"|"07875263360"|""|""|""|""|"118 Information"|"01-SEP-2021"
125898881|"A B House Removals"|"02150228"|330675.0|187696.0|1|100100666738|"osgb1000027519263"|3|27100635|1|8.7|"34"|"Graham Street"|"Newport"|"Gwent"|"NP20 4GH"|"Casnewydd - Newport"|"07575387575"|"www.manandvan4u.net"|""|""|""|"118 Information"|"01-SEP-2021"
129829348|"D T S Carpets Wales"|"09480675"|331295.0|187496.0|1|200002509949|"osgb1000027569810"|10|27100264|1|13.0|"12"|"Cardiff Road"|"Newport"|"Gwent"|"NP20 2ED"|"Casnewydd - Newport"|"01633549982"|""|""|""|""|"118 Information"|"01-SEP-2021"
149614466|"Drunk Monkey Tattoos"|"02100180"|331307.0|187530.0|1|100100972326|"osgb1000027568495"|7|27104818|1|18.3|"94a"|"Commercial Street"|"Newport"|"Gwent"|"NP20 1LU"|"Casnewydd - Newport"|"01633548826"|""|""|""|""|"118 Information"|"01-SEP-2021"
